job_title,company_name,location,salary,job_url,source_site,search_keyword,organization_type,gtelp_relevance,collection_date,collection_time
"스크랩[Virtedco] Looking for English class instructors  (강원 강릉)㈜버테코강원 강릉시학원·어학원·교육원, 외국어강사시급 40,000원~즉시 지원경력10/02(목) 등록•11/01(토) 마감",Virtedco,강원,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47805056?Oem_Code=C1&logpath=1&stext=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%EC%98%81%EC%96%B4&listno=17&sc=630,잡코리아,비즈니스영어,Others,Medium,2025-10-21,15:26:41
"신입 지원 가능스크랩영어능통한분,해외무역,㈜프리비아스킨랩서울 성동구생활화학·화장품, 제품영업연봉 2,900만원~즉시 지원신입09/15(월) 등록•11/14(금) 마감",프리비아스킨랩서울 성동구생활화학,서울,"연봉 2,900만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47697213?Oem_Code=C1&logpath=1&stext=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%EC%98%81%EC%96%B4&listno=18&sc=630,잡코리아,비즈니스영어,Trading,Medium-High,2025-10-21,15:26:41
"스크랩수출입무역업무 및 해외자재구매 경력사원 모집㈜태영광학인천 서구반도체·디스플레이·광학, 구매관리자, 무역사무원연봉 3,400~3,900만원즉시 지원경력10/14(화) 등록•10/24(금) 마감",태영광학인천 서구반도체,인천,"3,900만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47851703?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=1&sc=630,잡코리아,무역업무,Trading,Medium-High,2025-10-21,15:26:44
"스크랩건설분야] 무역업무 및 코디네이터 (중국어/영어)코템경기 남양주시건설·시공·토목·조경, 무역사무원, 운영보조·매니저, 통번역사즉시 지원경력무관10/14(화) 등록•12/13(토) 마감",기관명 미상,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47850439?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=2&sc=630,잡코리아,무역업무,Trading,Medium-High,2025-10-21,15:26:44
"스크랩낚시대 무역업무/영업지원 담당자 모집㈜주호상사경기 김포시 외 2생활용품·소비재·기타, 무역사무원, 영업지원즉시 지원경력2년↑10/14(화) 등록•11/13(목) 마감",주호상사경기 김포시 외 2생활용품,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47846149?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=3&sc=630,잡코리아,무역업무,Trading,Medium-High,2025-10-21,15:26:44
"스크랩낚시 REEL 무역업무/영업지원 담당자 모집㈜주호상사경기 김포시생활용품·소비재·기타, 무역사무원, 영업지원즉시 지원경력2년↑08/25(월) 등록•10/24(금) 마감",주호상사경기 김포시생활용품,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47566878?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=4&sc=630,잡코리아,무역업무,Trading,Medium-High,2025-10-21,15:26:44
"스크랩수입 무역업무,영어, 중국어 능통 경력자우대피지에스코리아㈜경기 고양시백화점·유통·도소매, 구매관리자, 유통관리자, 무역사무원연봉 3,600~4,000만원즉시 지원경력5년↑10/13(월) 등록•11/12(수) 마감",경기 고양시백화점,경기,"4,000만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47832159?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=5&sc=630,잡코리아,무역업무,Trading,Medium-High,2025-10-21,15:26:44
"신입 지원 가능스크랩(주)정우 해외영업 및 무역업무 사원 모집- 중국/동남아 시장 Focus㈜정우부산 강서구무역·상사, 해외영업연봉 3,500~4,000만원즉시 지원신입·경력10/16(목) 등록•상시채용",정우부,부산,"4,000만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47864146?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=6&sc=630,잡코리아,무역업무,Trading,Medium-High,2025-10-21,15:26:44
"스크랩해외무역업무 경력 및 신입 직원 채용바운쎌경기 용인시생활화학·화장품, 해외영업, 영업관리, 영업지원즉시 지원경력2년↑10/20(월) 등록•11/19(수) 마감",기관명 미상,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47883534?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=7&sc=630,잡코리아,무역업무,Trading,Medium-High,2025-10-21,15:26:44
"신입 지원 가능스크랩무역업무 정규직 직원채용국제인터트레이드㈜경기 성남시기계·기계설비, 사무담당자, 총무, 사무보조즉시 지원신입·경력•점심 식사 지원,운동비 지원,퇴직연금,건강보험,고용보험,국민연금,산재보험,공휴일 휴무10/15(수) 등록•11/09(일) 마감",경기 성남시기계,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47856439?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=8&sc=630,잡코리아,무역업무,Financial,Medium-High,2025-10-21,15:26:44
"신입 지원 가능스크랩[㈜조인엔터프라이즈] 반도체, 전자 장비 A/S 기술자 및 무역업무 사무직 채용㈜조인엔터프라이즈서울 강남구 외 14건설·시공·토목·조경, 사무담당자, 무역사무원, 영업지원연봉 3,000~5,000만원즉시 지원신입·경력•경조사 지원,연차제도,퇴직금,건",㈜조인엔터프라이즈,서울,"5,000만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47798055?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=9&sc=630,잡코리아,무역업무,Financial,Medium-High,2025-10-21,15:26:44
"신입 지원 가능스크랩일본무역업무, 업무지원사원 모집㈜대영계전서울 영등포구백화점·유통·도소매, 제품영업, 서비스영업, 영업지원즉시 지원신입10/13(월) 등록•10/31(금) 마감",대영계전서울 영등포구백화점,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47833337?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=10&sc=630,잡코리아,무역업무,Trading,Medium-High,2025-10-21,15:26:44
"신입 지원 가능스크랩국내외 전시품 수출입 포워딩/무역업무 직원 모집파나로드경기 고양시 외 11물류·운송·배송, 유통관리자, 무역사무원, 제품영업연봉 3,200만원~즉시 지원신입·경력•성과급,교통비 지원,퇴직연금,건강보험,고용보험,국민연금,산재보험,주5일제,직책수당10/",기관명 미상,경기,"연봉 3,200만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47809118?Oem_Code=C1&logpath=1&stext=%EB%AC%B4%EC%97%AD%EC%97%85%EB%AC%B4&listno=15&sc=630,잡코리아,무역업무,Financial,Medium-High,2025-10-21,15:26:44
"스크랩연봉 3400이상) 화장품 의료기기 수출회사 무역 직원 모집 (영어필수)㈜에비에코리아서울 성동구무역·상사, 무역사무원, 해외영업연봉 ~3,400만원즉시 지원경력2년↑•음료/간식 지원,점심 식사 지원,임직원 할인,자율복장,공휴일 휴무10/15(수) 등록•11/14(",에비에코리아서울 성동구무역,서울,"3,400만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47854693?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=1&sc=551,잡코리아,해외영업,Trading,Medium-High,2025-10-21,15:26:47
"스크랩TP그룹(구 태평양물산그룹) 의류벤더 일본영업, 내수영업 경력 채용티피㈜서울 구로구 외 3섬유·의류·패션, 해외영업, 법인영업, 영업관리홈페이지 지원경력2년↑10/15(수) 등록•11/07(금) 마감",서울 구로구 외 3섬유,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47857117?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=1&sc=552,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
